round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
2,,,,,,,,0.5,0.05,0.1414213562373095,0.1
4,,,,,,,,0.5,0.05,0.2,0.1
6,,,,,,,,0.5,0.05,0.2449489742783178,0.1
8,,,,,,,,0.5,0.05,0.282842712474619,0.1
10,,,,,,,,0.5,0.05,0.316227766016838,0.1
12,,,,,,,,0.5,0.05,0.3464101615137754,0.1
14,,,,,,,,0.5,0.05,0.3741657386773941,0.1
16,,,,,,,,0.5,0.05,0.4,0.1
18,,,,,,,,0.5,0.05,0.4242640687119285,0.1
20,,,,,,,,0.5,0.05,0.447213595499958,0.1
22,,,,,,,,0.5,0.05,0.469041575982343,0.1
24,,,,,,,,0.5,0.05,0.4898979485566356,0.1
26,,,,,,,,0.5,0.05,0.5099019513592785,0.1
28,,,,,,,,0.5,0.05,0.5291502622129182,0.1
30,,,,,,,,0.5,0.05,0.5477225575051662,0.1
32,,,,,,,,0.5,0.05,0.5656854249492381,0.1
34,,,,,,,,0.5,0.05,0.5830951894845301,0.1
36,,,,,,,,0.5,0.05,0.6000000000000001,0.1
38,,,,,,,,0.5,0.05,0.6164414002968976,0.1
40,,,,,,,,0.5,0.05,0.632455532033676,0.1
42,,,,,,,,0.5,0.05,0.6480740698407861,0.1
44,,,,,,,,0.5,0.05,0.66332495807108,0.1
46,,,,,,,,0.5,0.05,0.6782329983125268,0.1
48,,,,,,,,0.5,0.05,0.6928203230275509,0.1
50,,,,,,,,0.5,0.05,0.7071067811865476,0.1
