round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
0,0.7010971903800964,0.3467456870020927,0.6030858244937319,0.3997280682386027,0.4807877779796765,0.3467456870020927,48.44805262605389,0.4412447461442414,4.844805262605389,0.4666215289379737,2.4224026313026945,0.4880590190457767,0.9689610525210778,0.4945658864287849,0.4844805262605389
2,0.1154068261384964,0.9602025921952764,0.9378933305206903,0.9817281860670518,0.9593102704257768,0.9602025921952764,48.44805262605389,0.677619893428064,4.844805262605389,0.5889506357385295,2.4224026313026945,0.5337126074952078,0.9689610525210778,0.5186325026818845,0.4844805262605389
4,0.1135135516524314,0.960167419939152,0.937637203421085,0.9819934153653735,0.9593028479022552,0.960167419939152,48.44805262605389,0.6777957547086858,4.844805262605389,0.5889330496104672,2.4224026313026945,0.5347326029228144,0.9689610525210778,0.5154669996306913,0.4844805262605389
6,0.115314595401287,0.9594375956245712,0.9367554155595051,0.9812172823121728,0.9584709981184564,0.9594375956245712,48.44805262605389,0.6776550656841883,4.844805262605389,0.5899090797179185,2.4224026313026945,0.5348557058192498,0.9689610525210778,0.5187468125142888,0.4844805262605389
8,0.1138320714235305,0.9606686245889242,0.9395657609748368,0.9808632670318762,0.95977047676437,0.9606686245889242,48.44805262605389,0.6764416228478976,4.844805262605389,0.5878690888627051,2.4224026313026945,0.5382850007913758,0.9689610525210778,0.5200657721189526,0.4844805262605389
10,0.1163254082202911,0.9588220811423948,0.9364312202323416,0.9803856627658792,0.9579044828175142,0.9588220811423948,48.44805262605389,0.6762833476953379,4.844805262605389,0.5896101155408614,2.4224026313026945,0.535453634173364,0.9689610525210778,0.5186237096178534,0.4844805262605389
12,0.1153251826763153,0.9591386314475142,0.9374046337057368,0.980229615229432,0.958338936553616,0.9591386314475142,48.44805262605389,0.6759492112621565,4.844805262605389,0.5881504669117,2.4224026313026945,0.5387949985051791,0.9689610525210778,0.5192656032921231,0.4844805262605389
14,0.11811213940382,0.9582857042364984,0.9354419486837252,0.9803434376898018,0.9573665007099592,0.9582857042364984,48.44805262605389,0.6732233614125178,4.844805262605389,0.5921249318537538,2.4224026313026945,0.5373353498760178,0.9689610525210778,0.5151240701334787,0.4844805262605389
16,0.1165444925427436,0.9589715632309236,0.936790751935518,0.979847655672238,0.957835571379516,0.9589715632309236,48.44805262605389,0.6734871533334506,4.844805262605389,0.5926613087596504,2.4224026313026945,0.5338884687758296,0.9689610525210778,0.5201624958232945,0.4844805262605389
18,0.1157552897930145,0.9596750083534108,0.9378386937856288,0.9806277135918756,0.9587560256133534,0.9596750083534108,48.44805262605389,0.6765295534882085,4.844805262605389,0.5903663190475353,2.4224026313026945,0.5378805198459455,0.9689610525210778,0.5184390552732004,0.4844805262605389
20,0.1150127053260803,0.9600970754269031,0.9380549571796354,0.9816542345545516,0.9593594956207124,0.9600970754269031,48.44805262605389,0.6762393823751824,4.844805262605389,0.5908059722490899,2.4224026313026945,0.5351458769322758,0.9689610525210778,0.5196964634296467,0.4844805262605389
22,0.1165588647127151,0.9590946661273588,0.9369636558271766,0.9805329562358818,0.9582533158640988,0.9590946661273588,48.44805262605389,0.6749555950266429,4.844805262605389,0.5873327119568085,2.4224026313026945,0.5365791463693439,0.9689610525210778,0.51505372562123,0.4844805262605389
24,0.1154331192374229,0.959886041890157,0.93813202247191,0.9809450379997796,0.9590609688245956,0.959886041890157,48.44805262605389,0.6772505847387581,4.844805262605389,0.5916149341399504,2.4224026313026945,0.5370979371471784,0.9689610525210778,0.5171992332448165,0.4844805262605389
26,0.1173554882407188,0.9586725990538664,0.936217162872154,0.9805928534742094,0.9578913417431192,0.9586725990538664,48.44805262605389,0.6757293846613791,4.844805262605389,0.592045794277474,2.4224026313026945,0.5349612225876229,0.9689610525210778,0.5190721558834391,0.4844805262605389
28,0.1182671934366226,0.9585670822854933,0.9360214488487016,0.9805235332990676,0.9577558229187212,0.9585670822854933,48.44805262605389,0.6751314563072648,4.844805262605389,0.5912104531945201,2.4224026313026945,0.534398466489633,0.9689610525210778,0.5183511246328896,0.4844805262605389
30,0.1145507469773292,0.9600355239786856,0.9378711257554668,0.9812152048077276,0.9590536851683348,0.9600355239786856,48.44805262605389,0.6783585108066756,4.844805262605389,0.5902520092151311,2.4224026313026945,0.5351722561243691,0.9689610525210778,0.5168123384274484,0.4844805262605389
32,0.1155595183372497,0.9593848372403848,0.9372038330583734,0.9808783821017248,0.9585438749225896,0.9593848372403848,48.44805262605389,0.6745071487610573,4.844805262605389,0.5926437226315882,2.4224026313026945,0.5356558746460792,0.9689610525210778,0.5169881997080703,0.4844805262605389
34,0.1159029901027679,0.959490354008758,0.9373203801329408,0.9805954181576716,0.9584696793502268,0.959490354008758,48.44805262605389,0.6748324921302077,4.844805262605389,0.5916588994601059,2.4224026313026945,0.5369660411867119,0.9689610525210778,0.5193711200604962,0.4844805262605389
36,0.1182466894388198,0.9582153597242496,0.9349962207105064,0.9805696377546318,0.9572408083934708,0.9582153597242496,48.44805262605389,0.6747005961697413,4.844805262605389,0.5888275328420941,2.4224026313026945,0.5371946608515203,0.9689610525210778,0.5200657721189526,0.4844805262605389
38,0.1142106279730796,0.959789318185815,0.9373228900818446,0.981351122249659,0.9588318434295694,0.959789318185815,48.44805262605389,0.6761514517348716,4.844805262605389,0.5913423491549865,2.4224026313026945,0.5378717267819144,0.9689610525210778,0.5187643986423509,0.4844805262605389
40,0.1177884936332702,0.9583912210048714,0.9357027350066792,0.9802239080798408,0.9574460431654676,0.9583912210048714,48.44805262605389,0.6767581731530169,4.844805262605389,0.5925557919912773,2.4224026313026945,0.5351282908042136,0.9689610525210778,0.5191688795877811,0.4844805262605389
42,0.1156944185495376,0.9596750083534108,0.9371688115064344,0.9812538017732392,0.9587047742539664,0.9596662152893798,48.44805262605389,0.6751314563072648,4.844805262605389,0.5902168369590067,2.4224026313026945,0.5363241475124422,0.9689610525210778,0.51867646800204,0.4844805262605389
44,0.1162673681974411,0.9599036280182192,0.9378735672596864,0.9811313814918348,0.9590149200071904,0.9599036280182192,48.44805262605389,0.6753161106519178,4.844805262605389,0.5923535515185622,2.4224026313026945,0.5363856989606598,0.9689610525210778,0.5188875015387862,0.4844805262605389
46,0.1162819191813469,0.9592705274079806,0.9379806934249024,0.9800113488678588,0.9585354936890162,0.9592705274079806,48.44805262605389,0.6765559326803018,4.844805262605389,0.5893551166839597,2.4224026313026945,0.5351282908042136,0.9689610525210778,0.5178499199831174,0.4844805262605389
48,0.1180299967527389,0.9599651794664368,0.9378991256619108,0.981172703180212,0.9590480216587666,0.9599651794664368,48.44805262605389,0.676960413625732,4.844805262605389,0.5926613087596504,2.4224026313026945,0.5389005152735522,0.9689610525210778,0.5205493906406626,0.4844805262605389
50,0.1155692264437675,0.9608708650616394,0.9394659903483744,0.9813629171726092,0.9599575279847388,0.9608708650616394,48.44805262605389,0.6785079928952042,4.844805262605389,0.5918435538047588,2.4224026313026945,0.5389884459138632,0.9689610525210778,0.5202328403355433,0.4844805262605389
