round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
1,0.1153073012828826,0.9597189736735664,0.9383092957153384,0.98047412133546,0.9589284273380132,0.9597189736735664,48.44805262605389,0.6748940435784253,4.844805262605389,0.5896364947329547,2.4224026313026945,0.5371067302112094,0.9689610525210778,0.5186676749380089,0.4844805262605389
3,0.1140526384115219,0.9599388002743436,0.9377289377289376,0.9815986937457576,0.9591624538381556,0.9599388002743436,48.44805262605389,0.675720591597348,4.844805262605389,0.5878251235425497,2.4224026313026945,0.5369836273147741,0.9689610525210778,0.5144557972671157,0.4844805262605389
5,0.1148425936698913,0.9595694915850376,0.9367831188162158,0.9818659031257456,0.9587948524930996,0.9595694915850376,48.44805262605389,0.6781562703339605,4.844805262605389,0.5914566589873907,2.4224026313026945,0.5345655347062237,0.9689610525210778,0.5197668079418954,0.4844805262605389
7,0.116763062775135,0.95950794013682,0.9374019979210344,0.980611154115522,0.9585198663267788,0.95950794013682,48.44805262605389,0.6753249037159489,4.844805262605389,0.5938395793398168,2.4224026313026945,0.5383201730475001,0.9689610525210778,0.5174630251657493,0.4844805262605389
9,0.1152882128953933,0.9599388002743436,0.9381641320246004,0.9807129041171594,0.9589667843504576,0.9599388002743436,48.44805262605389,0.6755183511246329,4.844805262605389,0.5887396022017832,2.4224026313026945,0.5368429382902766,0.9689610525210778,0.518104918840019,0.4844805262605389
11,0.116730585694313,0.9592793204720116,0.9376638457342928,0.9799933801625538,0.95836143105045,0.9592793204720116,48.44805262605389,0.6768988621775144,4.844805262605389,0.5911489017463025,2.4224026313026945,0.5375551764767951,0.9689610525210778,0.5193623269964652,0.4844805262605389
13,0.117222636938095,0.9581889805321564,0.9345861753744462,0.9809214532169678,0.9571933994112404,0.9581889805321564,48.44805262605389,0.6757821430455656,4.844805262605389,0.5890297733148093,2.4224026313026945,0.5356294954539859,0.9689610525210778,0.5159857904085258,0.4844805262605389
15,0.1170106008648872,0.9592705274079806,0.938163878013238,0.9796498304152534,0.9584581442485336,0.9592705274079806,48.44805262605389,0.6767230008968925,4.844805262605389,0.589003394122716,2.4224026313026945,0.5369660411867119,0.9689610525210778,0.5164430297381426,0.4844805262605389
17,0.1152483373880386,0.9598684557620948,0.9379971840901092,0.9808421362582356,0.9589413267601072,0.9598684557620948,48.44805262605389,0.671614230694828,4.844805262605389,0.5903839051755975,2.4224026313026945,0.5382234493431581,0.9689610525210778,0.5158802736401527,0.4844805262605389
19,0.1155750378966331,0.9590946661273588,0.9366352974225718,0.9808236808236808,0.9582203222387872,0.9590946661273588,48.44805262605389,0.6755623164447884,4.844805262605389,0.5930833758331429,2.4224026313026945,0.535638288518017,0.9689610525210778,0.5171992332448165,0.4844805262605389
21,0.1164487600326538,0.9582417389163428,0.935769676128987,0.9800091869545244,0.9573786381626772,0.9582417389163428,48.44805262605389,0.6756150748289749,4.844805262605389,0.5916149341399504,2.4224026313026945,0.5374848319645463,0.9689610525210778,0.5176652656384644,0.4844805262605389
23,0.1161183267831802,0.9596750083534108,0.9372836990320256,0.9813128805017564,0.9587930848578512,0.9596750083534108,48.44805262605389,0.6770835165221674,4.844805262605389,0.5898827005258253,2.4224026313026945,0.5355855301338305,0.9689610525210778,0.5188259500905685,0.4844805262605389
25,0.1168022230267524,0.9591738037036386,0.9364038164725692,0.9813075523370156,0.9583299677804404,0.9591738037036386,48.44805262605389,0.6757733499815346,4.844805262605389,0.5923975168387177,2.4224026313026945,0.5327277843237255,0.9689610525210778,0.5196437050454601,0.4844805262605389
27,0.1155173480510711,0.9594727678806956,0.9376494163971312,0.9804790177012296,0.9585860491863673,0.9594727678806956,48.44805262605389,0.6760107627103741,4.844805262605389,0.5917556231644479,2.4224026313026945,0.5377486238854792,0.9689610525210778,0.5156428609113132,0.4844805262605389
29,0.1141984909772872,0.9596222499692244,0.9373023125043932,0.9811640055919358,0.9587317564167088,0.9596222499692244,48.44805262605389,0.6750786979230783,4.844805262605389,0.5892847721717109,2.4224026313026945,0.5385839649684329,0.9689610525210778,0.5213671455955542,0.4844805262605389
31,0.116316832602024,0.9599475933383746,0.9377418900851452,0.9812963678871892,0.9590248729366256,0.9599475933383746,48.44805262605389,0.6778221339007791,4.844805262605389,0.5894342542602395,2.4224026313026945,0.5348029474350632,0.9689610525210778,0.5201712888873257,0.4844805262605389
33,0.115852802991867,0.9597277667375974,0.9377423676232108,0.9806813154402004,0.958731302937466,0.9597277667375974,48.44805262605389,0.6758261083657211,4.844805262605389,0.5897332184372966,2.4224026313026945,0.5363505267045354,0.9689610525210778,0.5182983662487031,0.4844805262605389
35,0.1160447672009468,0.958927597910768,0.9363006819263096,0.9805137289636848,0.9578972986128012,0.958927597910768,48.44805262605389,0.6756326609570371,4.844805262605389,0.5887044299456589,2.4224026313026945,0.5350227740358405,0.9689610525210778,0.5168211314914796,0.4844805262605389
37,0.1160468161106109,0.9588044950143328,0.9351659568477,0.981510556160993,0.9577779580212868,0.9588044950143328,48.44805262605389,0.6739443926630674,4.844805262605389,0.5911576948103336,2.4224026313026945,0.5356998399662346,0.9689610525210778,0.5201273235671702,0.4844805262605389
39,0.116861306130886,0.9590594938712343,0.9365393715277168,0.9809997613496596,0.9582541333428972,0.9590594938712343,48.44805262605389,0.6751578354993581,4.844805262605389,0.5889154634824051,2.4224026313026945,0.5393225823470447,0.9689610525210778,0.519432671508714,0.4844805262605389
41,0.115748144686222,0.9598596626980638,0.9377299695427898,0.9810653503278568,0.9589083020532349,0.9598596626980638,48.44805262605389,0.6769428274976699,4.844805262605389,0.590339939855442,2.4224026313026945,0.5366231116894993,0.9689610525210778,0.5190369836273148,0.4844805262605389
43,0.1164946928620338,0.9590946661273588,0.9368435842495346,0.9805875216000588,0.9582165696630022,0.9590946661273588,48.44805262605389,0.6771362749063539,4.844805262605389,0.5925997573114328,2.4224026313026945,0.5369132828025254,0.9689610525210778,0.5171992332448165,0.4844805262605389
45,0.1171553879976272,0.9587957019503016,0.9356649015709938,0.9810200129115558,0.9578058311873076,0.9587957019503016,48.44805262605389,0.6758788667499077,4.844805262605389,0.5903839051755975,2.4224026313026945,0.5372298331076447,0.9689610525210778,0.5182192286724232,0.4844805262605389
47,0.1137614697217941,0.9604312118600848,0.9391276953234388,0.9813094367227504,0.9597553122987764,0.9604312118600848,48.44805262605389,0.6754655927404464,4.844805262605389,0.5924854474790285,2.4224026313026945,0.5388565499533967,0.9689610525210778,0.5167771661713241,0.4844805262605389
49,0.11492171138525,0.9598684557620948,0.9378998475102098,0.98127670499349,0.9590980785775738,0.9598684557620948,48.44805262605389,0.6735223255895749,4.844805262605389,0.5905773525842816,2.4224026313026945,0.5362977683203489,0.9689610525210778,0.5185006067214182,0.4844805262605389
